order_id,customer_id,product_id,qty,order_date,status
O10001,C5362,P046,1,2024-01-10,Доставлен
O10002,C5955,P114,1,2024-09-19,Доставлен
O10003,C4974,P089,1,2024-05-11,Доставлен
O10004,C2111,P055,2,2024-04-16,Доставлен
O10005,C0211,P027,1,2024-08-19,Доставлен
O10006,C3943,P042,1,2024-09-27,Доставлен
O10007,C3120,P086,1,2024-03-13,Доставлен
O10008,C4500,P026,3,2024-06-18,Доставлен
O10009,C1880,P056,2,2024-03-13,Доставлен
O10010,C0494,P111,1,2024-07-31,Доставлен
O10011,C3623,P016,1,2024-08-06,Доставлен
O10012,C7721,P094,1,2024-01-05,Доставлен
O10013,C0024,P033,1,2024-05-09,Доставлен
O10014,C0310,P050,1,2024-07-19,Доставлен
O10015,C7608,P001,1,2024-10-06,Доставлен
O10016,C5428,P071,1,2024-06-17,Доставлен
O10017,C1557,P063,1,2024-03-14,Доставлен
O10018,C6765,P107,1,2024-09-21,Доставлен
O10019,C2124,P038,1,2024-07-02,Доставлен
O10020,C0298,P084,1,2024-07-27,Доставлен
O10021,C6811,P013,2,2024-04-09,Доставлен
O10022,C2662,P091,1,2024-03-22,Доставлен
O10023,C2665,P018,1,2024-10-09,Возврат
O10024,C5315,P065,2,2024-04-08,Отменён
O10025,C7292,P082,1,2024-06-28,Возврат
O10026,C0939,P090,2,2024-06-05,Доставлен
O10027,C6629,P023,2,2024-04-11,Доставлен
O10028,C0766,P099,1,2024-02-29,Доставлен
O10029,C2608,P105,1,2024-09-16,Доставлен
O10030,C2975,P060,1,2024-10-05,Доставлен
O10031,C2903,P052,1,2024-02-12,Отменён
O10032,C4528,P069,1,2024-05-01,Доставлен
O10033,C5878,P103,2,2024-09-16,Доставлен
O10034,C7716,P016,2,2024-08-09,Доставлен
O10035,C5071,P106,2,2024-04-01,Доставлен
O10036,C3608,P048,3,2024-06-17,Возврат
O10037,C4834,P085,2,2024-04-02,Доставлен
O10038,C5778,P073,1,2024-06-13,Доставлен
O10039,C1447,P014,1,2024-08-17,Отменён
O10040,C3662,P003,2,2024-06-18,Доставлен
O10041,C2340,P057,2,2024-06-15,Доставлен
O10042,C1706,P012,3,2024-01-01,Доставлен
O10043,C5844,P068,1,2024-01-20,Доставлен
O10044,C1787,P113,1,2024-03-26,Доставлен
O10045,C3361,P026,1,2024-09-24,Доставлен
O10046,C6160,P008,1,2024-09-20,Доставлен
O10047,C7513,P056,1,2024-02-06,Доставлен
O10048,C3724,P001,1,2024-09-10,Доставлен
O10049,C1734,P095,1,2024-05-06,Доставлен
O10050,C7851,P074,2,2024-10-31,Доставлен
O10051,C1723,P082,2,2024-06-17,Доставлен
O10052,C0797,P117,2,2024-04-22,Доставлен
O10053,C7959,P096,1,2024-09-22,Доставлен
O10054,C2385,P066,1,2024-10-14,Доставлен
O10055,C6498,P066,1,2024-10-06,Доставлен
O10056,C4231,P100,1,2024-10-21,Доставлен
O10057,C3977,P007,2,2024-10-18,Доставлен
O10058,C0067,P061,1,2024-10-27,Доставлен
O10059,C4870,P101,1,2024-08-24,Доставлен
O10060,C4140,P112,2,2024-05-21,Доставлен
O10061,C0709,P058,1,2024-03-28,Доставлен
O10062,C2220,P050,1,2024-06-24,Доставлен
O10063,C3806,P039,2,2024-06-30,Отменён
O10064,C1788,P089,1,2024-05-12,Доставлен
O10065,C3430,P118,1,2024-06-17,Возврат
O10066,C0888,P060,2,2024-10-20,Возврат
O10067,C5962,P065,2,2024-08-18,Доставлен
O10068,C3654,P119,1,2024-06-17,Доставлен
O10069,C1181,P049,1,2024-06-07,Отменён
O10070,C3574,P040,1,2024-09-07,Доставлен
O10071,C3450,P008,3,2024-02-20,Доставлен
O10072,C7635,P060,3,2024-02-18,Доставлен
O10073,C3168,P041,1,2024-01-02,Доставлен
O10074,C3571,P050,1,2024-03-17,Доставлен
O10075,C8210,P042,1,2024-04-30,Доставлен
O10076,C6698,P075,1,2024-06-23,Доставлен
O10077,C5457,P088,2,2024-04-05,Доставлен
O10078,C2265,P120,2,2024-07-20,Доставлен
O10079,C2599,P059,1,2024-06-18,Доставлен
O10080,C4666,P080,1,2024-05-14,Доставлен
O10081,C0879,P025,1,2024-03-06,Доставлен
O10082,C7899,P063,1,2024-08-05,Доставлен
O10083,C5403,P114,1,2024-05-04,Доставлен
O10084,C5144,P048,1,2024-08-19,Отменён
O10085,C0687,P117,3,2024-01-19,Доставлен
O10086,C1861,P061,1,2024-04-09,Доставлен
O10087,C5066,P034,2,2024-07-03,Доставлен
O10088,C7703,P103,1,2024-03-22,Доставлен
O10089,C4085,P119,1,2024-02-17,Возврат
O10090,C2417,P062,1,2024-01-08,Доставлен
O10091,C5324,P004,1,2024-07-26,Доставлен
O10092,C2521,P022,2,2024-10-04,Доставлен
O10093,C0433,P047,1,2024-05-25,Доставлен
O10094,C5779,P032,1,2024-05-11,Доставлен
O10095,C5306,P104,2,2024-10-24,Доставлен
O10096,C2066,P053,1,2024-06-19,Доставлен
O10097,C8188,P064,1,2024-10-02,Доставлен
O10098,C5106,P119,2,2024-04-28,Доставлен
O10099,C7998,P053,2,2024-04-08,Доставлен
O10100,C1012,P034,1,2024-07-29,Доставлен
O10101,C2916,P089,2,2024-05-05,Доставлен
O10102,C6178,P093,1,2024-03-13,Возврат
O10103,C6949,P114,2,2024-01-09,Доставлен
O10104,C3011,P020,1,2024-08-15,Доставлен
O10105,C5525,P087,1,2024-02-23,Доставлен
O10106,C0609,P056,1,2024-08-24,Доставлен
O10107,C1100,P044,1,2024-03-29,Доставлен
O10108,C3395,P075,2,2024-05-09,Доставлен
O10109,C0544,P059,1,2024-08-31,Доставлен
O10110,C1877,P049,1,2024-02-07,Доставлен
O10111,C3173,P088,1,2024-04-28,Доставлен
O10112,C1189,P095,1,2024-10-22,Доставлен
O10113,C2404,P015,1,2024-06-21,Доставлен
O10114,C7871,P011,1,2024-08-01,Доставлен
O10115,C0912,P115,1,2024-03-15,Доставлен
O10116,C7591,P057,2,2024-04-03,Доставлен
O10117,C0888,P041,1,2024-10-13,Доставлен
O10118,C7290,P102,1,2024-10-07,Возврат
O10119,C1019,P052,1,2024-03-22,Доставлен
O10120,C0423,P011,3,2024-03-26,Доставлен
O10121,C0869,P116,1,2024-07-31,Доставлен
O10122,C5992,P065,1,2024-03-11,Доставлен
O10123,C4436,P063,1,2024-10-17,Доставлен
O10124,C0319,P083,1,2024-05-15,Доставлен
O10125,C4212,P118,2,2024-06-24,Доставлен
O10126,C7554,P028,1,2024-08-26,Доставлен
O10127,C7689,P064,1,2024-10-01,Доставлен
O10128,C7234,P001,2,2024-05-19,Доставлен
O10129,C7841,P060,1,2024-01-28,Отменён
O10130,C1416,P019,2,2024-09-20,Доставлен
O10131,C7435,P118,1,2024-06-05,Доставлен
O10132,C1005,P102,1,2024-09-19,Доставлен
O10133,C2403,P115,1,2024-02-06,Доставлен
O10134,C6188,P033,1,2024-01-14,Доставлен
O10135,C3210,P111,1,2024-09-21,Возврат
O10136,C0546,P043,1,2024-07-22,Доставлен
O10137,C0174,P102,1,2024-07-24,Доставлен
O10138,C7733,P112,1,2024-07-07,Доставлен
O10139,C2365,P060,1,2024-04-07,Доставлен
O10140,C2855,P098,2,2024-05-14,Доставлен
O10141,C5915,P031,3,2024-05-18,Доставлен
O10142,C6536,P102,1,2024-10-22,Доставлен
O10143,C4288,P072,1,2024-08-13,Доставлен
O10144,C1942,P061,1,2024-09-20,Доставлен
O10145,C6560,P063,2,2024-02-22,Доставлен
O10146,C0646,P062,1,2024-02-22,Доставлен
O10147,C0899,P061,2,2024-01-30,Доставлен
O10148,C3686,P055,3,2024-10-23,Доставлен
O10149,C7253,P077,1,2024-03-18,Доставлен
O10150,C4812,P053,1,2024-01-28,Доставлен
O10151,C1104,P012,1,2024-10-19,Возврат
O10152,C0840,P087,1,2024-02-24,Доставлен
O10153,C5933,P004,2,2024-01-07,Доставлен
O10154,C2435,P045,1,2024-10-16,Доставлен
O10155,C3763,P091,1,2024-03-30,Доставлен
O10156,C0196,P087,1,2024-08-28,Доставлен
O10157,C7756,P035,1,2024-06-19,Доставлен
O10158,C6919,P042,1,2024-08-19,Доставлен
O10159,C4169,P107,2,2024-06-26,Доставлен
O10160,C4226,P086,1,2024-01-29,Доставлен
O10161,C6627,P037,1,2024-04-18,Доставлен
O10162,C0645,P102,2,2024-07-06,Доставлен
O10163,C3075,P031,1,2024-04-27,Доставлен
O10164,C6943,P102,2,2024-10-20,Доставлен
O10165,C7329,P049,1,2024-07-11,Доставлен
O10166,C0079,P108,1,2024-06-24,Доставлен
