customer_id,age_group,gender,city,reg_date
C0001,35-44,Мужской,Оренбург,2022-03-28
C0002,25-34,Женский,Краснодар,2021-03-01
C0003,25-34,Мужской,Владивосток,2023-04-09
C0004,35-44,Мужской,Кемерово,2021-09-19
C0005,55+,Женский,Кемерово,2023-03-18
C0006,25-34,Мужской,Новосибирск,2024-08-09
C0007,25-34,Мужской,Нижний Новгород,2021-04-13
C0008,25-34,Женский,Волгоград,2022-11-01
C0009,25-34,Мужской,Омск,2023-05-14
C0010,25-34,Женский,Москва,2024-01-10
C0011,18-24,Мужской,Самара,2024-08-24
C0012,18-24,Мужской,Санкт-Петербург,2021-03-05
C0013,45-54,Женский,Москва,2024-06-26
C0014,18-24,Женский,Ульяновск,2021-08-23
C0015,25-34,Женский,Иркутск,2022-06-09
C0016,35-44,Женский,Ижевск,2021-08-23
C0017,35-44,Женский,Ростов-на-Дону,2021-08-10
C0018,25-34,Мужской,Тольятти,2024-10-19
C0019,45-54,Женский,Иркутск,2022-02-11
C0020,18-24,Мужской,Барнаул,2022-05-13
C0021,18-24,Мужской,Томск,2024-05-14
C0022,45-54,Мужской,Тольятти,2021-03-26
C0023,25-34,Женский,Красноярск,2021-05-22
C0024,25-34,Женский,Томск,2023-05-11
C0025,45-54,Женский,Красноярск,2024-07-25
C0026,45-54,Женский,Казань,2023-06-11
C0027,18-24,Женский,Барнаул,2022-07-08
C0028,35-44,Мужской,Ярославль,2023-09-18
C0029,25-34,Мужской,Тольятти,2022-07-04
C0030,25-34,Женский,Кемерово,2021-06-27
C0031,25-34,Женский,Ярославль,2023-08-10
C0032,25-34,Мужской,Уфа,2021-02-28
C0033,25-34,Женский,Краснодар,2022-03-11
C0034,25-34,Женский,Омск,2024-05-05
C0035,35-44,Женский,Москва,2023-11-25
C0036,45-54,Женский,Хабаровск,2023-04-13
C0037,25-34,Мужской,Иркутск,2023-09-03
C0038,35-44,Женский,Владивосток,2021-02-05
C0039,18-24,Женский,Иркутск,2022-05-14
C0040,25-34,Женский,Краснодар,2024-02-08
C0041,25-34,Женский,Хабаровск,2024-02-02
C0042,25-34,Мужской,Омск,2022-09-20
C0043,25-34,Женский,Челябинск,2022-10-09
C0044,18-24,Женский,Ярославль,2022-01-15
C0045,18-24,Мужской,Омск,2024-04-22
C0046,55+,Женский,Ростов-на-Дону,2021-07-25
C0047,45-54,Женский,Красноярск,2022-01-03
C0048,25-34,Мужской,Казань,2022-07-16
C0049,18-24,Женский,Ростов-на-Дону,2021-09-16
C0050,35-44,Мужской,Екатеринбург,2021-01-26
C0051,25-34,Женский,Волгоград,2022-11-29
C0052,18-24,Женский,Томск,2023-09-06
C0053,18-24,Женский,Краснодар,2021-06-01
C0054,25-34,Мужской,Казань,2021-11-02
C0055,45-54,Мужской,Новосибирск,2022-05-24
C0056,18-24,Мужской,Ижевск,2024-05-05
C0057,35-44,Женский,Саратов,2023-02-19
C0058,25-34,Женский,Томск,2024-04-20
C0059,55+,Женский,Ижевск,2021-05-04
C0060,35-44,Мужской,Ярославль,2022-03-02
C0061,35-44,Женский,Новосибирск,2021-11-18
C0062,18-24,Женский,Нижний Новгород,2021-01-06
C0063,25-34,Мужской,Краснодар,2022-08-20
C0064,18-24,Женский,Ростов-на-Дону,2023-07-19
C0065,18-24,Женский,Омск,2024-07-04
C0066,25-34,Мужской,Челябинск,2023-05-21
C0067,18-24,Женский,Казань,2022-06-29
C0068,45-54,Женский,Нижний Новгород,2022-09-22
C0069,25-34,Мужской,Кемерово,2022-08-15
C0070,25-34,Женский,Ростов-на-Дону,2023-04-05
C0071,45-54,Женский,Краснодар,2023-06-16
C0072,18-24,Женский,Пермь,2022-10-23
C0073,35-44,Женский,Самара,2024-10-12
C0074,45-54,Женский,Москва,2024-10-08
C0075,45-54,Женский,Ярославль,2021-12-25
C0076,25-34,Мужской,Кемерово,2022-07-24
C0077,18-24,Женский,Барнаул,2023-10-05
C0078,55+,Женский,Пермь,2022-11-14
C0079,25-34,Женский,Нижний Новгород,2022-11-07
C0080,25-34,Женский,Ульяновск,2023-04-01
C0081,45-54,Женский,Волгоград,2021-06-30
C0082,25-34,Женский,Ярославль,2023-04-08
C0083,45-54,Мужской,Москва,2024-09-08
C0084,45-54,Женский,Санкт-Петербург,2022-01-20
C0085,25-34,Мужской,Краснодар,2024-07-04
C0086,25-34,Женский,Омск,2024-01-30
C0087,18-24,Женский,Оренбург,2023-09-20
C0088,18-24,Мужской,Ижевск,2022-05-06
C0089,35-44,Женский,Москва,2024-02-06
C0090,25-34,Женский,Махачкала,2021-08-21
C0091,25-34,Женский,Махачкала,2021-11-12
C0092,25-34,Мужской,Саратов,2022-07-14
C0093,25-34,Женский,Краснодар,2022-05-15
C0094,25-34,Женский,Челябинск,2024-05-12
C0095,25-34,Мужской,Томск,2021-05-23
C0096,25-34,Мужской,Пермь,2022-11-28
C0097,45-54,Женский,Махачкала,2021-01-06
C0098,25-34,Женский,Тольятти,2024-04-02
C0099,55+,Женский,Казань,2023-07-04
C0100,25-34,Женский,Тюмень,2024-01-18
C0101,25-34,Мужской,Томск,2022-01-22
C0102,55+,Женский,Воронеж,2022-04-24
C0103,45-54,Женский,Уфа,2023-08-27
C0104,35-44,Мужской,Воронеж,2024-09-21
C0105,35-44,Мужской,Казань,2023-10-12
C0106,55+,Женский,Тольятти,2022-11-11
C0107,45-54,Мужской,Волгоград,2021-07-24
C0108,25-34,Женский,Хабаровск,2021-10-23
C0109,25-34,Мужской,Казань,2021-06-03
C0110,25-34,Мужской,Уфа,2024-06-30
C0111,35-44,Мужской,Томск,2022-11-04
C0112,45-54,Мужской,Воронеж,2022-10-11
C0113,35-44,Мужской,Краснодар,2024-01-14
C0114,18-24,Женский,Барнаул,2022-08-12
C0115,55+,Мужской,Пермь,2021-07-21
C0116,35-44,Мужской,Екатеринбург,2023-06-28
C0117,18-24,Женский,Москва,2021-04-05
C0118,25-34,Женский,Красноярск,2023-02-07
C0119,25-34,Женский,Пермь,2024-03-05
C0120,35-44,Женский,Нижний Новгород,2021-06-11
C0121,35-44,Женский,Ульяновск,2022-05-09
C0122,25-34,Женский,Самара,2023-08-03
C0123,35-44,Женский,Ульяновск,2021-01-20
C0124,45-54,Женский,Ростов-на-Дону,2024-10-19
C0125,25-34,Женский,Красноярск,2024-04-18
C0126,25-34,Мужской,Иркутск,2022-05-28
C0127,25-34,Женский,Воронеж,2023-09-17
C0128,18-24,Женский,Красноярск,2024-03-23
C0129,25-34,Мужской,Москва,2024-09-10
C0130,25-34,Женский,Томск,2021-04-11
C0131,45-54,Мужской,Махачкала,2022-08-10
C0132,35-44,Женский,Владивосток,2022-12-23
C0133,18-24,Женский,Омск,2024-10-20
C0134,35-44,Мужской,Ульяновск,2021-10-08
