return_id,order_id,reason,return_date
R0001,O10023,size,2024-10-13
R0002,O10025,size,2024-06-30
R0003,O10036,quality,2024-06-22
R0004,O10065,size,2024-06-24
R0005,O10066,size,2024-10-23
R0006,O10089,size,2024-02-22
R0007,O10102,size,2024-03-17
R0008,O10118,size,2024-10-14
R0009,O10135,size,2024-09-26
R0010,O10151,quality,2024-10-23
R0011,O10184,size,2024-09-06
R0012,O10195,size,2024-06-01
R0013,O10204,quality,2024-02-08
R0014,O10226,size,2024-08-15
R0015,O10227,quality,2024-08-17
R0016,O10228,quality,2024-08-07
R0017,O10239,size,2024-08-20
R0018,O10249,does_not_match_description,2024-02-09
R0019,O10252,size,2024-05-17
R0020,O10307,size,2024-01-19
R0021,O10312,does_not_match_description,2024-09-15
R0022,O10358,size,2024-02-02
R0023,O10366,quality,2024-11-02
R0024,O10385,size,2024-08-26
R0025,O10391,does_not_match_description,2024-02-13
R0026,O10525,size,2024-02-09
R0027,O10530,size,2024-07-11
R0028,O10555,quality,2024-07-26
R0029,O10583,size,2024-01-13
R0030,O10604,quality,2024-07-17
R0031,O10605,size,2024-05-24
R0032,O10608,size,2024-10-30
R0033,O10641,quality,2024-07-05
R0034,O10643,size,2024-04-13
R0035,O10657,quality,2024-09-30
R0036,O10659,quality,2024-10-26
R0037,O10738,does_not_match_description,2024-01-13
R0038,O10745,size,2024-07-21
R0039,O10782,does_not_match_description,2024-02-05
R0040,O10787,size,2024-04-12
R0041,O10819,quality,2024-01-12
R0042,O10828,quality,2024-09-28
R0043,O10834,quality,2024-05-14
R0044,O10836,size,2024-05-15
R0045,O10855,quality,2024-06-14
R0046,O10894,quality,2024-05-03
R0047,O10900,quality,2024-06-07
R0048,O10920,size,2024-10-22
R0049,O10973,quality,2024-05-12
R0050,O11015,size,2024-09-14
R0051,O11067,quality,2024-06-21
R0052,O11102,changed_mind,2024-05-16
R0053,O11168,quality,2024-03-19
R0054,O11210,size,2024-08-11
R0055,O11244,size,2024-05-20
R0056,O11288,size,2024-08-20
R0057,O11293,size,2024-10-04
R0058,O11323,quality,2024-10-15
R0059,O11354,does_not_match_description,2024-05-30
R0060,O11404,does_not_match_description,2024-02-12
R0061,O11438,size,2024-08-02
R0062,O11463,does_not_match_description,2024-02-11
R0063,O11549,size,2024-04-02
R0064,O11554,size,2024-11-02
R0065,O11589,quality,2024-08-05
R0066,O11596,size,2024-11-04
R0067,O11617,does_not_match_description,2024-06-29
R0068,O11626,quality,2024-07-13
R0069,O11635,size,2024-01-09
R0070,O11657,quality,2024-08-05
R0071,O11673,size,2024-04-02
R0072,O11682,quality,2024-07-09
R0073,O11702,quality,2024-03-13
R0074,O11746,quality,2024-10-21
R0075,O11759,size,2024-10-05
R0076,O11818,size,2024-09-18
R0077,O11833,size,2024-05-25
R0078,O11850,quality,2024-10-18
R0079,O11864,changed_mind,2024-09-07
R0080,O11890,size,2024-06-10
R0081,O11898,quality,2024-05-10
R0082,O11994,does_not_match_description,2024-06-29
R0083,O12003,size,2024-08-07
R0084,O12004,quality,2024-09-09
R0085,O12030,does_not_match_description,2024-05-02
R0086,O12034,size,2024-10-22
R0087,O12101,quality,2024-10-15
R0088,O12109,does_not_match_description,2024-05-09
R0089,O12132,does_not_match_description,2024-02-15
R0090,O12138,size,2024-06-10
R0091,O12140,quality,2024-05-09
R0092,O12143,size,2024-06-10
R0093,O12169,size,2024-09-24
R0094,O12177,quality,2024-01-30
R0095,O12186,quality,2024-06-01
R0096,O12210,does_not_match_description,2024-07-30
R0097,O12218,changed_mind,2024-11-02
R0098,O12272,size,2024-08-10
R0099,O12310,quality,2024-10-13
R0100,O12342,quality,2024-05-12
R0101,O12362,size,2024-01-12
R0102,O12388,size,2024-03-06
R0103,O12451,quality,2024-06-18
R0104,O12479,quality,2024-05-12
R0105,O12506,quality,2024-08-28
R0106,O12527,size,2024-04-14
R0107,O12553,does_not_match_description,2024-07-22
R0108,O12564,size,2024-09-30
R0109,O12568,does_not_match_description,2024-04-28
R0110,O12579,size,2024-08-12
R0111,O12584,quality,2024-05-09
R0112,O12622,size,2024-08-10
R0113,O12656,quality,2024-10-12
R0114,O12725,size,2024-05-27
R0115,O12778,quality,2024-09-01
R0116,O12801,does_not_match_description,2024-07-26
R0117,O12859,size,2024-02-07
R0118,O12865,size,2024-10-18
R0119,O12878,size,2024-09-28
R0120,O12880,quality,2024-06-07
R0121,O12893,size,2024-08-10
R0122,O12938,size,2024-09-02
R0123,O12948,size,2024-06-22
R0124,O12949,quality,2024-10-07
R0125,O13010,size,2024-01-10
R0126,O13015,size,2024-10-09
R0127,O13017,does_not_match_description,2024-08-24
R0128,O13018,size,2024-10-28
R0129,O13028,quality,2024-10-30
R0130,O13030,size,2024-10-14
R0131,O13034,quality,2024-01-21
R0132,O13078,size,2024-03-02
R0133,O13092,size,2024-06-20
R0134,O13124,size,2024-04-27
R0135,O13125,changed_mind,2024-03-23
R0136,O13147,changed_mind,2024-05-23
R0137,O13158,size,2024-10-14
R0138,O13180,size,2024-11-04
R0139,O13214,does_not_match_description,2024-03-08
R0140,O13216,size,2024-09-28
R0141,O13240,size,2024-01-12
R0142,O13332,size,2024-02-21
R0143,O13341,size,2024-09-01
R0144,O13393,does_not_match_description,2024-03-12
R0145,O13429,quality,2024-05-04
R0146,O13438,size,2024-05-15
R0147,O13459,size,2024-01-21
R0148,O13488,size,2024-04-18
R0149,O13524,size,2024-06-15
R0150,O13541,quality,2024-10-02
R0151,O13564,does_not_match_description,2024-09-12
R0152,O13591,quality,2024-07-08
R0153,O13616,quality,2024-06-05
R0154,O13631,size,2024-03-01
R0155,O13635,size,2024-05-13
R0156,O13644,size,2024-02-21
R0157,O13646,size,2024-08-23
R0158,O13768,quality,2024-08-12
R0159,O13806,does_not_match_description,2024-02-23
R0160,O13848,size,2024-06-16
R0161,O13892,changed_mind,2024-07-01
R0162,O13924,size,2024-01-22
R0163,O13937,quality,2024-07-11
R0164,O13978,size,2024-02-07
R0165,O13996,size,2024-01-30
R0166,O14001,size,2024-08-21
R0167,O14004,size,2024-07-08
R0168,O14027,quality,2024-03-17
R0169,O14047,size,2024-05-10
R0170,O14050,quality,2024-08-06
R0171,O14059,quality,2024-10-22
R0172,O14070,does_not_match_description,2024-08-04
R0173,O14089,quality,2024-08-14
R0174,O14090,quality,2024-04-30
R0175,O14101,quality,2024-04-25
R0176,O14107,size,2024-07-14
R0177,O14121,quality,2024-07-02
R0178,O14131,size,2024-03-07
R0179,O14133,size,2024-05-23
R0180,O14168,size,2024-05-02
R0181,O14185,size,2024-10-27
R0182,O14210,does_not_match_description,2024-07-08
R0183,O14211,quality,2024-10-30
R0184,O14261,quality,2024-10-05
R0185,O14303,size,2024-05-18
R0186,O14326,size,2024-01-29
R0187,O14331,size,2024-03-29
R0188,O14346,changed_mind,2024-01-20
R0189,O14374,size,2024-11-05
R0190,O14417,changed_mind,2024-05-08
R0191,O14437,does_not_match_description,2024-11-04
R0192,O14441,size,2024-05-24
R0193,O14457,size,2024-08-14
R0194,O14516,size,2024-05-09
R0195,O14571,quality,2024-02-26
R0196,O14579,quality,2024-09-12
R0197,O14605,size,2024-03-28
R0198,O14616,size,2024-09-15
R0199,O14622,quality,2024-02-04
R0200,O14624,does_not_match_description,2024-04-15
R0201,O14627,quality,2024-04-10
R0202,O14658,size,2024-06-18
R0203,O14666,quality,2024-06-04
R0204,O14694,size,2024-08-12
R0205,O14704,does_not_match_description,2024-08-06
R0206,O14737,changed_mind,2024-02-13
R0207,O14738,does_not_match_description,2024-07-02
