order_id,customer_id,product_id,product_name,qty,price_rub,order_date,status
O10001,C0001,P001,Джинсы Basic,1,3490.00,2023-01-15,delivered
O10002,C0002,P002,Джинсы Premium,2,5290.00,2023-01-22,delivered
O10003,C0003,P003,Футболка Basics,3,1290.00,2023-01-29,delivered
O10004,C0004,P004,Футболка Artist,1,1890.00,2023-02-05,delivered
O10005,C0005,P005,Платье Elegant,2,4190.00,2023-02-12,delivered
O10006,C0001,P006,Платье Casual,3,2890.00,2023-02-19,delivered
O10007,C0002,P007,Пальто Urban,1,8990.00,2023-02-26,delivered
O10008,C0003,P008,Куртка Eco,2,10490.00,2023-03-05,delivered
O10009,C0004,P009,Ботинки Step,3,5990.00,2023-03-12,delivered
O10010,C0005,P010,Кроссовки Lite,1,4490.00,2023-03-19,delivered
O10011,C0001,P011,Сумка StyleWear,2,2290.00,2023-03-26,delivered
O10012,C0002,P012,Шарф Winter,3,1590.00,2023-04-02,delivered
O10013,C0003,P001,Джинсы Basic,1,3490.00,2023-04-09,delivered
O10014,C0004,P002,Джинсы Premium,2,5290.00,2023-04-16,delivered
O10015,C0005,P003,Футболка Basics,3,1290.00,2023-04-23,delivered
O10016,C0001,P004,Футболка Artist,1,1890.00,2023-04-30,delivered
O10017,C0002,P005,Платье Elegant,2,4190.00,2023-05-07,delivered
O10018,C0003,P006,Платье Casual,3,2890.00,2023-05-14,delivered
O10019,C0004,P007,Пальто Urban,1,8990.00,2023-05-21,delivered
O10020,C0005,P008,Куртка Eco,2,10490.00,2023-05-28,returned
O10021,C0001,P009,Ботинки Step,3,5990.00,2023-06-04,cancelled
O10022,C0002,P010,Кроссовки Lite,1,4490.00,2023-06-11,delivered
O10023,C0003,P011,Сумка StyleWear,2,2290.00,2023-06-18,delivered
O10024,C0004,P012,Шарф Winter,3,1590.00,2023-06-25,delivered
O10025,C0005,P001,Джинсы Basic,1,3490.00,2023-07-02,delivered
O10026,C0001,P002,Джинсы Premium,2,5290.00,2023-07-09,delivered
O10027,C0002,P003,Футболка Basics,3,1290.00,2023-07-16,delivered
O10028,C0003,P004,Футболка Artist,1,1890.00,2023-07-23,delivered
O10029,C0004,P005,Платье Elegant,2,4190.00,2023-07-30,delivered
O10030,C0005,P006,Платье Casual,3,2890.00,2023-08-06,delivered
O10031,C0001,P007,Пальто Urban,1,8990.00,2023-08-13,delivered
O10032,C0002,P008,Куртка Eco,2,10490.00,2023-08-20,delivered
O10033,C0003,P009,Ботинки Step,3,5990.00,2023-08-27,delivered
O10034,C0004,P010,Кроссовки Lite,1,4490.00,2023-09-03,delivered
O10035,C0005,P011,Сумка StyleWear,2,2290.00,2023-09-10,delivered
O10036,C0001,P012,Шарф Winter,3,1590.00,2023-09-17,delivered
O10037,C0002,P001,Джинсы Basic,1,3490.00,2023-09-24,delivered
O10038,C0003,P002,Джинсы Premium,2,5290.00,2023-10-01,delivered
O10039,C0004,P003,Футболка Basics,3,1290.00,2023-10-08,delivered
O10040,C0005,P004,Футболка Artist,1,1890.00,2023-10-15,delivered
O10041,C0001,P005,Платье Elegant,2,4190.00,2023-10-22,returned
O10042,C0002,P006,Платье Casual,3,2890.00,2023-10-29,cancelled
O10043,C0003,P007,Пальто Urban,1,8990.00,2023-11-05,delivered
O10044,C0004,P008,Куртка Eco,2,10490.00,2023-11-12,delivered
O10045,C0005,P009,Ботинки Step,3,5990.00,2023-11-19,delivered
O10046,C0001,P010,Кроссовки Lite,1,4490.00,2023-11-26,delivered
O10047,C0002,P011,Сумка StyleWear,2,2290.00,2023-12-03,delivered
O10048,C0003,P012,Шарф Winter,3,1590.00,2023-12-10,delivered
