campaign_id,channel,budget_rub,reach,conv_rate,revenue_rub
MC01,email,120000,24000,0.042,615000
MC02,instagram,450000,180000,0.028,1260000
MC03,yandex_direct,380000,95000,0.035,1030000
MC04,tiktok,600000,520000,0.019,850000
MC05,google_ads,320000,78000,0.031,890000
MC06,email_segmented,95000,18500,0.051,580000
MC07,influencer_micro,210000,42000,0.062,910000
MC08,retargeting_fb,175000,35000,0.074,1020000
MC09,seasonal_sale_push,80000,16000,0.088,780000
MC10,loyalty_program,0,12500,0.112,420000
MC11,sms,65000,13000,0.039,360000
MC12,vk_ads,290000,115000,0.026,740000
MC13,email_welcome,30000,6200,0.092,180000
MC14,influencer_macro,1200000,250000,0.041,2100000
MC15,context_seasonal,220000,44000,0.045,850000
MC16,push_notification,45000,22000,0.033,310000
MC17,marketplace_yandex,310000,62000,0.022,490000
MC18,marketplace_wb,280000,58000,0.025,460000
MC19,email_abandoned_cart,75000,15000,0.105,620000
MC20,referral_program,180000,36000,0.058,720000
MC21,outdoor_moscow,950000,420000,0.008,530000
MC22,radio_local,420000,180000,0.012,320000
MC23,podcast_sponsorship,350000,75000,0.036,610000
MC24,spring_collection_email,140000,28000,0.068,980000
MC25,summer_sale_insta,520000,260000,0.032,1100000
MC26,back_to_school_sms,90000,18000,0.047,480000
MC27,autumn_lookbook_email,110000,22000,0.059,820000
MC28,winter_coat_push,130000,26000,0.072,920000
MC29,new_year_email,200000,40000,0.081,1400000
MC30,valentines_insta,380000,190000,0.029,950000
MC31,march8_email,150000,30000,0.091,1050000
MC32,may_gift_push,85000,17000,0.063,640000
MC33,june_sale_retarget,160000,32000,0.088,1020000
MC34,back_to_school_email,190000,38000,0.055,910000
MC35,october_collection_insta,410000,205000,0.027,890000
MC36,pre_black_friday_email,250000,50000,0.076,1300000
MC37,black_friday_sms,320000,64000,0.089,2000000
MC38,black_friday_push,280000,56000,0.094,1950000
MC39,cyber_monday_email,180000,36000,0.071,1100000
MC40,december_gift_guide,210000,42000,0.065,1020000
MC41,new_year_countdown_push,140000,28000,0.083,1250000
MC42,black_friday_email,300000,60000,0.095,2850000
